Contest,ElectionLvl,ElectionType,Grain,Year,PrecinctAddress,Zipcode,City,State,County,RegVoters,REP,DEM,WRI,OVER,UNDER,RegVoterFinal,RegVoterCngRate,RepRegRate,RepRegVoterParticipation,RepRegVoterFinalParticipation,RepRegVoterParticipationCng,RepRegVoterSpecificParticipation,DemRegRate,DemRegVoterParticipation,DemRegVoterFinalParticipation,DemRegVoterParticipationCng,DemRegVoterSpecificParticipation,TotalParticipationRate,TotalFinalParticipationRate,RegNpaRate,NativeAmerican,AsianPacIsl,AfricanAmerican,Hispanic,White,Other,Multi,Unk,Male,Female,GenderUnk,Active,Inactive,CPF,DemReg,ECO,GRE,IND,LPF,NpaReg,PSL,REF,RepReg,under25,btwn2544,btwn4564,over65
U.S. Senate,Federal,General,Precinct,2018,861 W Lumsden Rd,33511,Brandon,FL,Hillsborough,2344,460,840,3,0,7,1493,1.57,0.25,0.20,0.31,0.11,1.21,0.45,0.36,0.56,0.20,1.24,0.55,0.87,0.28,1,38,374,354,633,29,16,48,661,784,48,1373,120,0,678,0,0,6,4,425,0,0,380,187,521,538,247
U.S. Senate,Federal,General,Precinct,2018,910 Bryan Rd,33511,Brandon,FL,Hillsborough,2776,966,782,8,1,12,1889,1.47,0.39,0.35,0.51,0.16,1.30,0.33,0.28,0.41,0.13,1.24,0.63,0.93,0.27,9,46,157,225,1357,24,20,51,843,1000,46,1753,136,0,631,0,3,6,3,502,0,0,744,232,521,689,447
U.S. Senate,Federal,General,Precinct,2018,215 Sydney Washer Rd,33527,Dover,FL,Hillsborough,8464,2699,2250,13,0,32,5396,1.57,0.38,0.32,0.50,0.18,1.33,0.32,0.27,0.42,0.15,1.29,0.58,0.92,0.29,24,172,590,859,3483,85,48,135,2431,2818,147,5093,303,1,1743,0,6,17,12,1588,2,1,2026,644,1764,2061,927
U.S. Senate,Federal,General,Precinct,2018,3223 Gallagher Rd,33527,Dover,FL,Hillsborough,3058,1156,537,3,0,13,2077,1.47,0.40,0.38,0.56,0.18,1.40,0.30,0.18,0.26,0.08,0.86,0.55,0.82,0.30,9,17,30,412,1531,19,7,52,955,1062,60,1931,146,0,627,0,1,5,5,613,0,0,826,271,558,758,490
U.S. Senate,Federal,General,Precinct,2018,3310 Moores Lake Rd,33527,Dover,FL,Hillsborough,2262,1118,382,4,0,7,1563,1.45,0.49,0.49,0.72,0.22,1.45,0.27,0.17,0.24,0.08,0.89,0.66,0.96,0.22,12,27,54,202,1226,9,4,29,765,773,25,1490,73,0,429,0,1,8,2,351,0,0,772,165,353,660,385
U.S. Senate,Federal,General,Precinct,2018,6219 Symmes Rd,33534,Gibsonton,FL,Hillsborough,5010,824,1788,14,5,12,2979,1.68,0.21,0.16,0.28,0.11,1.29,0.44,0.36,0.60,0.24,1.38,0.52,0.88,0.34,7,61,835,643,1259,38,29,107,1339,1555,84,2761,218,0,1299,1,1,16,2,1021,0,0,639,414,1368,956,241
U.S. Senate,Federal,General,Precinct,2018,9912 Indiana St,33534,Gibsonton,FL,Hillsborough,2674,609,552,8,2,7,1790,1.49,0.27,0.23,0.34,0.11,1.25,0.35,0.21,0.31,0.10,0.88,0.43,0.65,0.37,7,10,140,339,1229,12,7,46,880,866,44,1565,225,0,628,0,1,9,8,655,0,0,489,247,593,663,287
U.S. Senate,Federal,General,Precinct,2018,10308 Lithia Pinecrest Rd,33547,Lithia,FL,Hillsborough,832,456,80,2,0,0,576,1.44,0.52,0.55,0.79,0.24,1.53,0.27,0.10,0.14,0.04,0.51,0.64,0.93,0.21,1,2,0,13,539,2,1,18,271,292,13,560,16,0,158,0,0,0,0,119,0,0,299,53,136,247,140
U.S. Senate,Federal,General,Precinct,2018,111 Alafia Church Rd,33547,Lithia,FL,Hillsborough,378,194,67,0,0,2,243,1.56,0.49,0.51,0.80,0.29,1.64,0.20,0.18,0.28,0.10,1.37,0.69,1.07,0.29,1,2,0,10,222,4,1,3,115,121,7,235,8,0,49,1,0,3,1,71,0,0,118,22,56,92,73
U.S. Senate,Federal,General,Precinct,2018,17004 Dorman Rd,33547,Lithia,FL,Hillsborough,13449,5473,3486,20,0,56,7904,1.70,0.47,0.41,0.69,0.29,1.48,0.23,0.26,0.44,0.18,1.93,0.67,1.13,0.30,12,241,394,739,6195,106,62,155,3653,4057,194,7316,588,1,1804,1,4,22,22,2357,0,2,3691,997,2781,3310,816
U.S. Senate,Federal,General,Precinct,2018,5708 Lithia Pinecrest Rd,33547,Lithia,FL,Hillsborough,1639,812,363,0,0,7,1082,1.51,0.57,0.50,0.75,0.26,1.32,0.22,0.22,0.34,0.11,1.49,0.72,1.09,0.20,2,17,54,43,930,13,3,20,509,548,25,1033,49,0,243,0,2,2,2,217,0,0,616,126,214,553,189
U.S. Senate,Federal,General,Precinct,2018,6420 Lithia Pinecrest Rd,33547,Lithia,FL,Hillsborough,742,383,88,3,0,1,474,1.57,0.55,0.52,0.81,0.29,1.47,0.20,0.12,0.19,0.07,0.94,0.63,0.99,0.25,0,1,13,24,418,0,2,16,207,251,16,458,16,0,94,0,0,0,2,118,0,0,260,64,111,212,87
U.S. Senate,Federal,General,Precinct,2018,9390 Edison Rd,33547,Lithia,FL,Hillsborough,1498,693,187,4,0,2,994,1.51,0.45,0.46,0.70,0.23,1.55,0.24,0.12,0.19,0.06,0.77,0.59,0.89,0.30,3,1,6,41,905,12,6,20,454,516,24,945,49,1,242,0,0,2,3,300,0,0,446,119,289,401,185
U.S. Senate,Federal,General,Precinct,2018,960 W Lutz Lake Fern Rd,33548,Lutz,FL,Hillsborough,5371,2364,1358,5,1,28,3638,1.48,0.49,0.44,0.65,0.21,1.34,0.29,0.25,0.37,0.12,1.30,0.69,1.02,0.22,8,86,147,258,3011,40,20,68,1773,1800,65,3517,121,1,1045,0,0,13,12,800,0,0,1767,368,807,1637,826
U.S. Senate,Federal,General,Precinct,2018,98 1st Ave NW,33548,Lutz,FL,Hillsborough,2929,1247,780,3,0,18,1891,1.55,0.46,0.43,0.66,0.23,1.43,0.29,0.27,0.41,0.15,1.41,0.69,1.07,0.24,7,65,73,128,1538,26,9,45,931,919,41,1816,75,0,554,0,3,4,6,451,0,0,873,179,456,873,383
U.S. Senate,Federal,General,Precinct,2018,410 E Chapman Rd,33549,Lutz,FL,Hillsborough,2613,1056,781,9,0,19,1821,1.43,0.44,0.40,0.58,0.18,1.31,0.34,0.30,0.43,0.13,1.28,0.70,1.01,0.22,4,39,68,140,1519,18,5,28,849,936,36,1763,58,0,612,0,0,2,6,396,0,0,805,165,423,821,412
U.S. Senate,Federal,General,Precinct,2018,17875 Sailfish Dr,33558,Lutz,FL,Hillsborough,2090,511,747,2,0,15,1352,1.55,0.28,0.24,0.38,0.13,1.33,0.39,0.36,0.55,0.20,1.40,0.60,0.93,0.31,4,17,165,268,840,17,11,30,553,778,21,1130,222,0,532,2,2,4,5,422,0,0,385,176,469,478,229
U.S. Senate,Federal,General,Precinct,2018,3109 W Lutz Lake Fern Rd,33558,Lutz,FL,Hillsborough,3104,1207,967,6,0,17,1994,1.56,0.44,0.39,0.61,0.22,1.38,0.28,0.31,0.48,0.17,1.75,0.70,1.09,0.28,6,126,84,227,1447,29,20,55,947,993,54,1904,90,0,554,0,0,8,6,553,0,0,873,235,648,850,261
U.S. Senate,Federal,General,Precinct,2018,5101 Van Dyke Rd,33558,Lutz,FL,Hillsborough,3525,1488,1026,9,1,16,2261,1.56,0.47,0.42,0.66,0.24,1.39,0.25,0.29,0.45,0.16,1.80,0.71,1.11,0.26,4,135,92,245,1688,32,14,51,1056,1167,38,2165,96,0,571,0,1,13,7,596,0,0,1073,249,548,964,500
U.S. Senate,Federal,General,Precinct,2018,5107 W Lutz Lake Fern Rd,33558,Lutz,FL,Hillsborough,3643,1622,993,6,0,16,2371,1.54,0.49,0.45,0.68,0.24,1.40,0.26,0.27,0.42,0.15,1.59,0.72,1.10,0.24,6,58,91,221,1910,24,15,46,1129,1201,41,2292,79,0,623,0,1,6,6,577,0,1,1157,255,541,1135,440
U.S. Senate,Federal,General,Precinct,2018,5315 Van Dyke Rd,33558,Lutz,FL,Hillsborough,3533,1171,1134,7,0,8,2305,1.53,0.39,0.33,0.51,0.18,1.30,0.34,0.32,0.49,0.17,1.44,0.65,1.00,0.27,5,68,150,346,1636,27,19,54,1108,1143,54,2189,116,0,786,0,1,6,2,612,0,0,898,247,651,923,484
U.S. Senate,Federal,General,Precinct,2018,14735 Lake Forest Dr,33559,Lutz,FL,Hillsborough,3353,541,1382,13,1,14,2147,1.56,0.24,0.16,0.25,0.09,1.07,0.46,0.41,0.64,0.23,1.41,0.57,0.90,0.30,4,83,430,307,1169,42,36,76,932,1128,87,1899,248,0,983,0,0,5,11,640,0,2,506,535,764,571,277
U.S. Senate,Federal,General,Precinct,2018,14801 Livingston Ave,33559,Lutz,FL,Hillsborough,2501,528,852,8,0,21,1682,1.49,0.24,0.21,0.31,0.10,1.29,0.44,0.34,0.51,0.17,1.16,0.55,0.82,0.31,4,29,282,268,996,32,13,58,781,844,57,1479,203,0,736,0,3,7,3,523,0,0,410,225,585,573,299
U.S. Senate,Federal,General,Precinct,2018,17112 Livingston Ave,33559,Lutz,FL,Hillsborough,2668,1014,745,9,1,18,1813,1.47,0.43,0.38,0.56,0.18,1.31,0.34,0.28,0.41,0.13,1.20,0.66,0.97,0.23,7,32,72,176,1440,29,13,44,831,953,29,1744,69,0,621,0,2,3,3,412,0,0,772,177,472,768,396
U.S. Senate,Federal,General,Precinct,2018,3905 Orange St,33550,Mango,FL,Hillsborough,3489,1025,1191,5,0,15,2372,1.47,0.33,0.29,0.43,0.14,1.31,0.40,0.34,0.50,0.16,1.26,0.64,0.93,0.26,6,88,380,292,1484,26,19,77,1077,1228,67,2252,120,0,949,0,2,11,6,621,0,0,783,257,687,974,454
U.S. Senate,Federal,General,Precinct,2018,17808 Wayne Rd,33556,Odessa,FL,Hillsborough,3133,1331,913,4,0,19,2051,1.53,0.47,0.42,0.65,0.22,1.39,0.27,0.29,0.45,0.15,1.63,0.72,1.09,0.25,6,76,73,181,1643,25,9,38,940,1079,32,1990,61,0,561,0,1,6,3,520,0,0,960,202,509,970,370
U.S. Senate,Federal,General,Precinct,2018,17928 Gunn Hwy,33556,Odessa,FL,Hillsborough,5117,2491,1245,12,2,19,3367,1.52,0.53,0.49,0.74,0.25,1.39,0.24,0.24,0.37,0.13,1.55,0.73,1.11,0.22,7,67,77,174,2925,27,15,75,1625,1674,68,3257,110,0,802,1,2,8,8,750,0,0,1796,332,676,1570,789
U.S. Senate,Federal,General,Precinct,2018,1904 S Park Rd,33563,Plant City,FL,Hillsborough,3438,550,1338,7,1,13,2296,1.50,0.18,0.16,0.24,0.08,1.31,0.58,0.39,0.58,0.19,1.01,0.55,0.82,0.23,7,12,1182,306,688,10,9,82,948,1278,70,2064,232,0,1329,1,0,6,2,538,0,0,420,318,781,738,459
U.S. Senate,Federal,General,Precinct,2018,2001 N Park Rd,33563,Plant City,FL,Hillsborough,884,334,157,6,0,4,592,1.49,0.39,0.38,0.56,0.19,1.45,0.32,0.18,0.27,0.09,0.83,0.56,0.83,0.29,2,2,11,92,468,3,2,12,275,302,15,535,57,0,189,0,0,0,1,171,0,0,231,73,155,227,137
U.S. Senate,Federal,General,Precinct,2018,2207 W Baker St,33563,Plant City,FL,Hillsborough,3757,948,1002,12,1,18,2464,1.52,0.27,0.25,0.38,0.13,1.43,0.41,0.27,0.41,0.14,1.00,0.52,0.79,0.32,9,23,287,692,1337,17,16,83,1044,1341,79,2227,237,0,1002,0,0,6,7,785,0,0,664,385,829,851,399
U.S. Senate,Federal,General,Precinct,2018,302 W McLendon St,33563,Plant City,FL,Hillsborough,3429,1301,745,11,0,15,2302,1.49,0.39,0.38,0.57,0.19,1.43,0.31,0.22,0.32,0.11,1.03,0.60,0.89,0.29,10,15,135,296,1793,8,6,39,1016,1235,51,2128,174,0,721,0,2,4,8,659,0,1,907,255,641,862,544
U.S. Senate,Federal,General,Precinct,2018,601 N Gordon St,33563,Plant City,FL,Hillsborough,1256,403,293,5,0,7,882,1.42,0.37,0.32,0.46,0.14,1.24,0.33,0.23,0.33,0.10,1.02,0.55,0.79,0.30,3,9,47,131,663,8,6,15,397,465,20,762,120,0,288,0,1,6,1,262,0,0,324,110,316,286,170
U.S. Senate,Federal,General,Precinct,2018,3409 Cork Rd,33565,Plant City,FL,Hillsborough,3431,1664,509,6,1,14,2306,1.49,0.53,0.48,0.72,0.24,1.37,0.24,0.15,0.22,0.07,0.92,0.63,0.94,0.23,9,19,26,154,2034,6,8,50,1059,1202,45,2228,78,0,551,0,0,4,7,528,0,0,1216,282,588,916,520
U.S. Senate,Federal,General,Precinct,2018,4240 N Frontage Rd,33565,Plant City,FL,Hillsborough,2052,1066,276,9,0,10,1375,1.49,0.53,0.52,0.78,0.26,1.47,0.25,0.13,0.20,0.07,0.80,0.65,0.98,0.22,4,24,47,85,1174,8,3,30,621,734,20,1312,63,1,343,0,0,4,0,301,0,0,726,129,311,564,371
U.S. Senate,Federal,General,Precinct,2018,4809 Alexander St N,33565,Plant City,FL,Hillsborough,1849,914,234,1,0,9,1181,1.57,0.51,0.49,0.77,0.28,1.52,0.23,0.13,0.20,0.07,0.86,0.62,0.97,0.26,5,13,21,54,1045,8,5,30,561,596,24,1132,49,0,271,0,1,4,2,302,0,0,601,106,314,536,225
U.S. Senate,Federal,General,Precinct,2018,750 Country Meadows Blvd,33565,Plant City,FL,Hillsborough,2324,1055,484,4,0,16,1572,1.48,0.45,0.45,0.67,0.22,1.50,0.30,0.21,0.31,0.10,1.03,0.66,0.98,0.25,7,9,18,82,1426,6,2,22,689,853,30,1471,101,1,470,0,0,9,1,388,0,1,702,96,214,543,719
U.S. Senate,Federal,General,Precinct,2018,1107 Charlie Griffin Rd,33566,Plant City,FL,Hillsborough,3073,1359,687,3,0,7,2071,1.48,0.52,0.44,0.66,0.21,1.27,0.24,0.22,0.33,0.11,1.40,0.67,0.99,0.24,13,28,113,176,1688,12,6,35,943,1096,32,1919,152,0,492,1,0,10,4,494,0,1,1069,238,537,789,507
U.S. Senate,Federal,General,Precinct,2018,2402 Mud Lake Rd,33566,Plant City,FL,Hillsborough,3244,1448,806,3,0,6,2084,1.56,0.50,0.45,0.69,0.25,1.38,0.26,0.25,0.39,0.14,1.50,0.69,1.08,0.23,7,77,145,175,1600,19,12,49,981,1065,38,1982,102,1,539,0,0,7,5,480,0,0,1052,241,623,791,429
U.S. Senate,Federal,General,Precinct,2018,3410 Nesmith Rd,33566,Plant City,FL,Hillsborough,2477,927,473,8,0,13,1648,1.50,0.39,0.37,0.56,0.19,1.45,0.35,0.19,0.29,0.10,0.81,0.57,0.85,0.25,7,27,160,253,1140,12,12,37,756,856,36,1558,90,0,585,0,0,6,0,418,0,0,639,226,503,604,315
U.S. Senate,Federal,General,Precinct,2018,602 Charlie Griffin Rd,33566,Plant City,FL,Hillsborough,1987,798,460,6,0,6,1365,1.46,0.42,0.40,0.58,0.18,1.38,0.33,0.23,0.34,0.11,1.03,0.63,0.92,0.24,6,16,159,130,1014,11,8,21,596,744,25,1252,113,0,448,0,0,6,8,325,0,0,578,146,434,485,300
U.S. Senate,Federal,General,Precinct,2018,3505 W Lone Oak Rd,33567,Plant City,FL,Hillsborough,2416,986,369,6,0,9,1608,1.50,0.41,0.41,0.61,0.21,1.49,0.30,0.15,0.23,0.08,0.77,0.56,0.84,0.29,7,21,21,263,1246,11,8,31,755,822,31,1524,84,0,479,0,0,6,3,459,0,0,661,226,427,629,326
U.S. Senate,Federal,General,Precinct,2018,4305 James L Redman Pkwy,33567,Plant City,FL,Hillsborough,1210,613,155,3,1,6,827,1.46,0.52,0.51,0.74,0.23,1.43,0.26,0.13,0.19,0.06,0.73,0.63,0.93,0.22,2,6,9,96,685,3,2,24,373,433,21,795,32,2,213,0,0,2,1,181,0,0,428,103,206,327,191
U.S. Senate,Federal,General,Precinct,2018,5009 Nesmith Rd,33567,Plant City,FL,Hillsborough,2074,573,676,1,0,6,1325,1.57,0.29,0.28,0.43,0.16,1.47,0.47,0.33,0.51,0.18,1.09,0.60,0.94,0.23,2,14,440,171,657,8,3,30,587,703,35,1269,56,1,621,0,0,5,1,308,0,0,389,172,386,486,281
U.S. Senate,Federal,General,Precinct,2018,6015 W Farkas Rd,33567,Plant City,FL,Hillsborough,1562,674,236,5,1,2,1058,1.48,0.44,0.43,0.64,0.21,1.45,0.30,0.15,0.22,0.07,0.74,0.58,0.86,0.25,4,8,59,80,880,5,5,17,498,547,13,982,76,0,320,0,1,2,0,269,0,0,466,115,257,435,251
U.S. Senate,Federal,General,Precinct,2018,7051 Turkey Creek Rd,33567,Plant City,FL,Hillsborough,2018,863,486,4,0,5,1290,1.56,0.49,0.43,0.67,0.24,1.35,0.24,0.24,0.38,0.14,1.55,0.67,1.05,0.26,5,25,83,80,1042,13,12,30,606,658,26,1245,45,1,314,1,0,4,0,333,0,0,637,158,337,584,211
U.S. Senate,Federal,General,Precinct,2018,11020 Park Dr,33569,Riverview,FL,Hillsborough,4001,1338,1075,13,0,8,2608,1.53,0.40,0.33,0.51,0.18,1.28,0.32,0.27,0.41,0.14,1.29,0.60,0.93,0.27,11,54,278,286,1869,20,21,69,1229,1313,66,2464,144,0,833,1,0,10,8,708,0,0,1048,298,768,1080,462
U.S. Senate,Federal,General,Precinct,2018,11560 Ramble Creek Dr,33569,Riverview,FL,Hillsborough,8082,2089,2587,17,1,30,4772,1.69,0.30,0.26,0.44,0.18,1.47,0.39,0.32,0.54,0.22,1.37,0.58,0.98,0.30,10,150,835,836,2728,67,32,114,2123,2523,126,4510,262,3,1882,0,4,13,10,1441,0,1,1418,535,1714,1615,908
U.S. Senate,Federal,General,Precinct,2018,12404 Boyette Rd,33569,Riverview,FL,Hillsborough,5046,1554,1345,13,1,23,3285,1.54,0.39,0.31,0.47,0.17,1.22,0.33,0.27,0.41,0.14,1.24,0.57,0.88,0.28,9,87,430,428,2167,43,33,88,1559,1646,80,3126,159,0,1083,1,3,8,6,912,0,0,1272,456,923,1419,487
U.S. Senate,Federal,General,Precinct,2018,9840 Balm Riverview Rd,33569,Riverview,FL,Hillsborough,2538,985,723,13,0,14,1673,1.52,0.44,0.39,0.59,0.20,1.33,0.29,0.28,0.43,0.15,1.47,0.67,1.02,0.26,5,36,166,128,1281,15,15,27,772,865,35,1596,77,2,491,0,0,2,8,428,0,0,742,169,397,858,249
U.S. Senate,Federal,General,Precinct,2018,10221 Big Bend Rd,33578,Riverview,FL,Hillsborough,7545,1639,2561,16,1,25,4421,1.71,0.26,0.22,0.37,0.15,1.42,0.41,0.34,0.58,0.24,1.41,0.56,0.95,0.32,4,109,987,1041,2058,73,47,102,2013,2285,123,4158,263,0,1810,0,2,18,17,1416,1,0,1157,568,1887,1528,438
U.S. Senate,Federal,General,Precinct,2018,10801 Desoto Rd,33578,Riverview,FL,Hillsborough,4699,1259,1378,8,2,22,3056,1.54,0.32,0.27,0.41,0.14,1.30,0.37,0.29,0.45,0.16,1.21,0.56,0.86,0.30,12,59,343,540,1970,32,21,79,1347,1630,79,2821,235,0,1141,0,4,8,6,926,0,3,968,322,1105,1162,467
U.S. Senate,Federal,General,Precinct,2018,11349 Bloomingdale Ave,33578,Riverview,FL,Hillsborough,2218,698,628,4,0,4,1530,1.45,0.37,0.31,0.46,0.14,1.25,0.38,0.28,0.41,0.13,1.09,0.60,0.87,0.25,5,28,178,169,1087,22,16,25,712,779,39,1417,113,0,577,0,2,3,1,387,0,0,560,147,443,607,333
U.S. Senate,Federal,General,Precinct,2018,13498 S US 301,33578,Riverview,FL,Hillsborough,4641,1005,1858,12,3,16,2582,1.80,0.26,0.22,0.39,0.17,1.52,0.43,0.40,0.72,0.32,1.68,0.62,1.11,0.31,8,80,674,601,1084,52,21,62,1205,1310,67,2435,147,0,1106,1,1,13,8,790,2,0,661,313,1166,882,221
U.S. Senate,Federal,General,Precinct,2018,6605 Krycul Ave,33578,Riverview,FL,Hillsborough,5220,1243,1708,6,0,26,3270,1.60,0.30,0.24,0.38,0.14,1.28,0.39,0.33,0.52,0.20,1.32,0.57,0.90,0.30,12,86,663,504,1827,38,42,98,1435,1748,87,3020,250,0,1291,1,1,12,17,977,0,1,970,426,1230,1168,446
U.S. Senate,Federal,General,Precinct,2018,6819 Krycul Ave,33578,Riverview,FL,Hillsborough,7463,1479,2754,17,0,23,4726,1.58,0.25,0.20,0.31,0.11,1.24,0.42,0.37,0.58,0.21,1.40,0.57,0.90,0.32,16,156,1033,812,2426,82,66,135,2050,2543,133,4066,660,1,1973,0,3,23,6,1523,1,1,1195,581,2075,1594,476
